iso3,country,language,web_pct,primary,primary_web_share_total_pct,all_listed_share_total_pct
DEU,Germany,Saterland Frisian,,1,6.52,6.52
DEU,Germany,Upper Sorbian,,1,6.52,6.52
DEU,Germany,Lower Sorbian,,1,6.52,6.52
DEU,Germany,Romani,,1,6.52,6.52
DNK,Denmark,Danish,0.53,1,6.5255,6.5255
DNK,Denmark,Faroese,0.0055,1,6.5255,6.5255
DNK,Denmark,Greenlandic (Kalaallisut),,1,6.5255,6.5255
DNK,Denmark,German,5.99,1,6.5255,6.5255
DZA,Algeria,Modern Standard Arabic,0.65,1,0.65,0.65
DZA,Algeria,Algerian Arabic,,1,0.65,0.65
DZA,Algeria,Standard Algerian Tamazight,,1,0.65,0.65
DZA,Algeria,Kabyle,,1,0.65,0.65
DZA,Algeria,Chaouia (Shawiya),,1,0.65,0.65
DZA,Algeria,Mozabite,,1,0.65,0.65
ECU,Ecuador,Spanish,4.64,1,4.6409,4.6409
ECU,Ecuador,Kichwa,0.0009,1,4.6409,4.6409
ECU,Ecuador,Shuar,,1,4.6409,4.6409
ECU,Ecuador,Achuar-Shiwiar,,1,4.6409,4.6409
ECU,Ecuador,Awa-Cuaiquer,,1,4.6409,4.6409
ECU,Ecuador,Cha'palaachi (Chachi),,1,4.6409,4.6409
ECU,Ecuador,Waorani,,1,4.6409,4.6409
EGY,Egypt,Modern Standard Arabic,0.65,1,0.65,0.65
EGY,Egypt,Egyptian Arabic,,1,0.65,0.65
EGY,Egypt,Sa'idi Arabic,,1,0.65,0.65
EGY,Egypt,Nobiin,,1,0.65,0.65
EGY,Egypt,Siwi,,1,0.65,0.65
EGY,Egypt,Beja,,1,0.65,0.65
EGY,Egypt,Domari,,1,0.65,0.65
EGY,Egypt,Coptic,,1,0.65,0.65
ESP,Spain,Spanish,4.64,1,4.92,4.92
ESP,Spain,Catalan/Valencian,0.21,1,4.92,4.92
ESP,Spain,Galician,0.032,1,4.92,4.92
ESP,Spain,Basque,0.038,1,4.92,4.92
ESP,Spain,Aranese Occitan,,1,4.92,4.92
ESP,Spain,Asturian,,1,4.92,4.92
ESP,Spain,Leonese,,1,4.92,4.92
ESP,Spain,Aragonese,,1,4.92,4.92
ETH,Ethiopia,Amharic,0.0037,1,0.0098,0.0098
ETH,Ethiopia,Oromo,0.0006,1,0.0098,0.0098
ETH,Ethiopia,Somali,0.0055,1,0.0098,0.0098
ETH,Ethiopia,Tigrinya,,1,0.0098,0.0098
ETH,Ethiopia,Sidamo,,1,0.0098,0.0098
ETH,Ethiopia,Wolaytta,,1,0.0098,0.0098
ETH,Ethiopia,Gurage,,1,0.0098,0.0098
ETH,Ethiopia,Afar,,1,0.0098,0.0098
FIN,Finland,Finnish,0.38,1,1.12,1.12
FIN,Finland,Swedish,0.74,1,1.12,1.12
FIN,Finland,Sami (Northern/Inari/Skolt),,1,1.12,1.12
FIN,Finland,Karelian,,1,1.12,1.12
FIN,Finland,Finnish Romani,,1,1.12,1.12
FRA,France,French,4.8,1,5.053,5.053
FRA,France,Catalan,0.21,1,5.053,5.053
FRA,France,Basque,0.038,1,5.053,5.053
FRA,France,Occitan,,1,5.053,5.053
FRA,France,Corsican,0.0029,1,5.053,5.053
FRA,France,Breton,0.0021,1,5.053,5.053
FRA,France,Alsatian,,1,5.053,5.053
FRA,France,Franco-Provencal,,1,5.053,5.053
GBR,United Kingdom,English,40.58,1,40.597,40.597
GBR,United Kingdom,Welsh,0.0107,1,40.597,40.597
GBR,United Kingdom,Scottish Gaelic,,1,40.597,40.597
GBR,United Kingdom,Irish,0.0063,1,40.597,40.597
GBR,United Kingdom,Scots,,1,40.597,40.597
GBR,United Kingdom,Ulster Scots,,1,40.597,40.597
GBR,United Kingdom,Cornish,,1,40.597,40.597
GBR,United Kingdom,British Sign Language,,1,40.597,40.597
GEO,Georgia,Georgian,0.045,1,0.141,6.961
GEO,Georgia,Azerbaijani,0.062,1,0.141,6.961
GEO,Georgia,Armenian,0.034,1,0.141,6.961
GEO,Georgia,Ossetian,,1,0.141,6.961
GEO,Georgia,Abkhaz,,0,0.141,6.961
GEO,Georgia,Russian,6.82,0,0.141,6.961
GHA,Ghana,English,40.58,0,0.0004,40.5804
GHA,Ghana,Akan,0.0004,1,0.0004,40.5804
GHA,Ghana,Ewe,,1,0.0004,40.5804
GHA,Ghana,Dagbani,,1,0.0004,40.5804
