iso3,country,language,web_pct,primary,primary_web_share_total_pct,all_listed_share_total_pct
SWE,Sweden,Romani,,1,1.1216,1.1216
SWE,Sweden,Dalecarlian,,1,1.1216,1.1216
SWE,Sweden,Gutnish,,1,1.1216,1.1216
THA,Thailand,Central Thai,0.37,1,0.37,0.37
THA,Thailand,Isan,,1,0.37,0.37
THA,Thailand,Northern Thai (Kham Muang),,1,0.37,0.37
THA,Thailand,Southern Thai (Pak Tai),,1,0.37,0.37
THA,Thailand,Northern Khmer,,1,0.37,0.37
THA,Thailand,Pattani Malay (Yawi),,1,0.37,0.37
THA,Thailand,Phu Thai,,1,0.37,0.37
THA,Thailand,Karen,,1,0.37,0.37
TUN,Tunisia,Modern Standard Arabic,0.65,1,0.65,0.65
TUN,Tunisia,Tunisian Arabic,,1,0.65,0.65
TUN,Tunisia,Tamazight (Djerbi/Jerba Berber),,1,0.65,0.65
TUN,Tunisia,Matmata Berber,,1,0.65,0.65
TUR,Turkey,Turkish,1.35,1,2.0404,2.0404
TUR,Turkey,Kurdish (Kurmanji),0.0064,1,2.0404,2.0404
TUR,Turkey,Zazaki,,1,2.0404,2.0404
TUR,Turkey,Arabic,0.65,1,2.0404,2.0404
TUR,Turkey,Armenian,0.034,1,2.0404,2.0404
TUR,Turkey,Laz,,1,2.0404,2.0404
TUR,Turkey,Pomak,,1,2.0404,2.0404
TUR,Turkey,Adyghe,,1,2.0404,2.0404
TZA,Tanzania,Swahili,0.0117,1,0.0117,40.5917
TZA,Tanzania,English,40.58,0,0.0117,40.5917
TZA,Tanzania,Sukuma,,1,0.0117,40.5917
TZA,Tanzania,Haya,,1,0.0117,40.5917
TZA,Tanzania,Makonde,,1,0.0117,40.5917
TZA,Tanzania,Nyamwezi,,1,0.0117,40.5917
TZA,Tanzania,Hehe,,1,0.0117,40.5917
TZA,Tanzania,Gogo,,1,0.0117,40.5917
UGA,Uganda,English,40.58,0,0,40.5917
UGA,Uganda,Swahili,0.0117,0,0,40.5917
UGA,Uganda,Luganda,,1,0,40.5917
UGA,Uganda,Runyankole,,1,0,40.5917
UGA,Uganda,Lusoga,,1,0,40.5917
UGA,Uganda,Ateso,,1,0,40.5917
UGA,Uganda,Acholi (Southern Luo),,1,0,40.5917
UGA,Uganda,Lugbara,,1,0,40.5917
UKR,Ukraine,Ukrainian,0.8,1,11.6,11.6
UKR,Ukraine,Russian,6.82,1,11.6,11.6
UKR,Ukraine,Romanian,0.57,1,11.6,11.6
UKR,Ukraine,Hungarian,0.53,1,11.6,11.6
UKR,Ukraine,Crimean Tatar,,1,11.6,11.6
UKR,Ukraine,Bulgarian,0.28,1,11.6,11.6
UKR,Ukraine,Polish,2.04,1,11.6,11.6
UKR,Ukraine,Greek,0.56,1,11.6,11.6
USA,United States,English,40.58,1,40.5808,45.2208
USA,United States,Spanish,4.64,0,40.5808,45.2208
USA,United States,Navajo,,1,40.5808,45.2208
USA,United States,Hawaiian,,1,40.5808,45.2208
USA,United States,Samoan,0.0008,1,40.5808,45.2208
USA,United States,Chamorro,,1,40.5808,45.2208
USA,United States,Cherokee,,1,40.5808,45.2208
USA,United States,American Sign Language,,1,40.5808,45.2208
UZB,Uzbekistan,Uzbek,0.031,1,6.9107,6.9107
UZB,Uzbekistan,Russian,6.82,1,6.9107,6.9107
UZB,Uzbekistan,Tajik,,1,6.9107,6.9107
UZB,Uzbekistan,Karakalpak,,1,6.9107,6.9107
UZB,Uzbekistan,Kazakh,0.047,1,6.9107,6.9107
UZB,Uzbekistan,Kyrgyz,0.0127,1,6.9107,6.9107
VEN,Venezuela,Spanish,4.64,1,4.64,4.64
VEN,Venezuela,Wayuu,,1,4.64,4.64
VEN,Venezuela,Warao,,1,4.64,4.64
VEN,Venezuela,Pemon,,1,4.64,4.64
VEN,Venezuela,Piaroa,,1,4.64,4.64
VEN,Venezuela,Jivi (Guahibo),,1,4.64,4.64
VNM,Vietnam,Vietnamese,1.06,1,5.872,5.872
VNM,Vietnam,Chinese,4.43,1,5.872,5.872
VNM,Vietnam,Tay,,1,5.872,5.872
VNM,Vietnam,Thai (Tai),0.37,1,5.872,5.872
VNM,Vietnam,Muong,,1,5.872,5.872
VNM,Vietnam,Khmer,0.012,1,5.872,5.872
VNM,Vietnam,Nung,,1,5.872,5.872
VNM,Vietnam,Hmong,,1,5.872,5.872
ZAF,South Africa,English,40.58,1,40.5902,40.5902
ZAF,South Africa,Afrikaans,0.0078,1,40.5902,40.5902
ZAF,South Africa,Zulu,0.0015,1,40.5902,40.5902
ZAF,South Africa,Xhosa,0.0009,1,40.5902,40.5902
ZAF,South Africa,Northern Sotho (Sepedi),,1,40.5902,40.5902
ZAF,South Africa,Southern Sotho,,1,40.5902,40.5902
ZAF,South Africa,Tswana,,1,40.5902,40.5902
ZAF,South Africa,Tsonga,,1,40.5902,40.5902
ZWE,Zimbabwe,Shona,,1,0,40.58
ZWE,Zimbabwe,Ndebele,,1,0,40.58
ZWE,Zimbabwe,English,40.58,0,0,40.58
ZWE,Zimbabwe,Tonga,,1,0,40.58
ZWE,Zimbabwe,Kalanga,,1,0,40.58
ZWE,Zimbabwe,Nambya,,1,0,40.58
ZWE,Zimbabwe,Venda,,1,0,40.58
ZWE,Zimbabwe,Ndau,,1,0,40.58
